ngram,frequency
money,948
app,893
account,809
venmo,762
use,467
cant,426
get,418
bank,403
dont,295
customer,293
card,287
service,277
even,261
transfer,229
send,222
wont,193
never,192
im,186
still,185
payment,184
phone,179
paypal,172
would,172
time,167
people,166
days,157
sent,155
one,154
ive,154
tried,150
pay,149
give,147
help,143
number,141
worst,139
got,137
let,137
ever,136
back,133
horrible,131
like,130
try,129
doesnt,128
new,127
way,122
work,119
trying,119
support,118
someone,118
cash,115
could,112
used,111
make,108
terrible,104
need,103
want,101
using,100
reason,100
email,98
funds,93
update,93
debit,91
nothing,90
know,87
times,87
transactions,87
add,86
able,83
getting,82
another,81
business,81
3,79
keep,78
issue,77
didnt,77
sucks,77
take,75
instant,75
go,74
info,73
transaction,73
credit,73
see,72
person,72
good,72
much,71
2,70
payments,70
day,70
every,69
said,69
anything,68
information,67
error,67
frozen,66
company,66
wrong,65
say,65
access,65
put,63
tell,63
without,63
keeps,61
going,61
fees,61
bad,60
paid,58
cannot,58
wouldnt,58
verify,57
allow,57
fix,56
friends,56
week,55
balance,55
says,54
later,54
cards,54
find,53
better,51
told,51
id,51
4,51
security,51
sign,50
hate,50
froze,50
saying,50
hold,50
made,49
though,49
option,49
user,49
5,48
also,48
since,48
couldnt,47
accounts,47
first,47
receive,46
experience,46
different,46
friend,46
problem,46
wait,46
awful,45
stars,45
crypto,45
sending,44
freezes,44
went,44
&,44
always,43
everything,43
took,42
takes,42
change,42
years,42
anyone,42
really,42
multiple,42
apps,42
ill,42
received,41
thats,41
literally,41
something,41
unable,41
verified,41
issues,40
last,40
absolutely,40
useless,40
great,40
works,40
zero,40
set,40
social,40
almost,40
two,40
charge,40
trash,39
message,39
many,39
fee,39
please,38
well,38
else,38
instead,38
done,38
1,37
10,37
easy,37
identity,37
actually,36
weeks,36
longer,36
download,36
contact,36
gave,36
link,36
care,36
makes,36
accept,35
response,35
telling,35
freeze,35
scam,34
difficult,34
theres,34
thing,33
locked,33
havent,33
verification,33
already,33
needed,33
call,33
recommend,33
yet,32
everyone,32
garbage,32
due,32
right,32
personal,32
crashes,32
u,32
transfers,31
waste,31
close,31
code,31
system,31
waiting,31
ui,31
hacked,30
review,30
working,30
several,30
dollars,30
youre,30
cashapp,30
isnt,30
asked,30
declined,30
hours,29
zelle,29
deposit,29
think,29
called,29
stupid,29
today,29
constantly,29
log,29
old,29
stop,28
hard,28
complete,28
ridiculous,28
long,28
charged,28
talk,28
0,27
star,27
contacted,27
lost,27
problems,27
completely,27
online,27
requests,27
free,27
month,27
unless,26
available,26
$10,26
cancel,26
around,26
steal,26
poor,26
chat,26
password,26
transferred,26
request,26
freezing,25
show,25
private,25
joke,25
worse,25
open,25
months,25
needs,25
process,25
wants,24
others,24
checking,24
acct,24
theyre,24
far,24
given,24
fine,24
real,24
charges,24
delete,23
away,23
thanks,23
settings,23
frustrating,23
ago,23
team,23
holding,23
name,23
twice,22
making,22
point,22
wasnt,22
end,22
check,22
list,22
wanted,22
us,22
less,22
stole,22
supposed,22
requested,22
added,21
banking,21
paying,21
worked,21
amount,21
impossible,21
seems,21
closed,21
held,21
refund,21
linked,20
financial,20
whats,20
immediately,20
signing,20
kept,20
run,20
three,20
address,20
activity,20
confusing,20
ask,20
negative,20
customers,20
$,19
either,19
emails,19
possible,19
downloaded,19
whole,19
started,19
search,19
button,18
taking,18
venmos,18
stolen,18
answer,18
refused,18
lot,18
trust,18
half,18
soon,18
buy,18
signed,18
matter,18
wish,18
release,18
giving,18
suspended,18
method,18
services,17
part,17
world,17
year,17
asking,17
enough,17
move,17
taken,17
figure,17
sitting,17
spend,17
banks,17
connect,17
stick,17
absolute,16
via,16
screen,16
platform,16
least,16
everytime,16
stuck,16
deleting,16
love,16
look,16
default,16
sure,16
pending,16
fixed,16
fraud,16
understand,16
reset,16
purchase,16
public,16
decided,16
deleted,15
forever,15
stay,15
extremely,15
worthless,15
small,15
6,15
uninstalled,15
gone,15
easier,15
privacy,15
sends,15
login,15
instantly,15
family,15
single,15
offer,15
luck,15
interface,15
profile,15
correct,15
enter,14
oh,14
rate,14
3rd,14
idea,14
$100,14
came,14
owned,14
big,14
whatever,14
$200,14
especially,14
top,14
randomly,14
hope,14
adding,14
start,14
intuitive,14
google,14
fraudulent,14
little,14
august,14
messages,14
unfreeze,14
scammed,14
updated,14
avoid,14
resolve,14
notifications,13
yall,13
allowed,13
continue,13
direct,13
order,13
wife,13
found,13
deal,13
page,13
uninstalling,13
minutes,13
simple,13
shows,13
couple,13
setting,13
worth,13
maybe,13
latest,13
easily,13
total,13
protection,13
trouble,13
past,13
$5,13
connected,13
click,13
leave,13
changed,13
uses,13
full,13
plus,13
course,13
owe,13
anymore,13
atm,13
claim,12
gets,12
created,12
verifying,12
date,12
bucks,12
ssn,12
options,12
slow,12
suspicious,12
text,12
tells,12
attempts,12
junk,12
sudden,12
stopped,12
installed,12
things,12
chime,12
live,12
layout,12
refuses,12
gives,12
however,12
thru,12
till,12
theyve,12
rent,12
guys,12
